SİSTEMATİK LİTERATÜR DERLEMESİ (SLR) - XAI BOYUTSAL KODLAMA VE VERİ TABANI (N=298);;;;;;;;;;;
Açıklanabilir Yapay Zekâ (XAI) ve Derin Öğrenme | Hakem Değerlendirme Raporu Ek-1 Veri Seti | Son Güncelleme: Eylül 2026;;;;;;;;;;;
;;;;;;;;;;;
ID;Author(s);Year;Title;Publication / Source;Model Type;XAI Method;Coding Category (Dominant Type);Explanation Scope;Explanation Timing;Application Domain;Evaluation Metric
111;Wexler et al.;2019;Manifold: A Model-Agnostic Framework for Interpretation and Diagnosis of ML Models;IEEE TVCG;Black-Box Models;Visual Feature Scatter Matrices;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Debugging Time & Error Discovery
112;Guidotti et al.;2018;A Survey of Methods for Explaining Black Box Models;ACM Computing Surveys;All Black-Box Classifiers;Master Taxonomy Framework;Feature Attribution;Global;Post-hoc;General / Benchmark;Literature Coverage Metric
113;Bender & Friedman;2018;Data Statements for Natural Language Processing: Toward Mitigating System Bias;Transactions of the ACL;NLP Datasets;Data Statements & Bias Audit;Intrinsic White-box;Global;Intrinsic;NLP & Recommender Systems;Dataset Documentation Completeness
114;Zhang et al.;2018;Interpretable Convolutional Neural Networks;CVPR;CNN Architecture;Disentangled Object-Part Filters;Visual Saliency / Heatmap;Global;Intrinsic;Computer Vision & Autonomous Systems;Part Interpretability Index
115;Zhang et al.;2019;Interpreting CNNs via Decision Trees;CVPR;Deep CNNs;Tree-based Decision Extraction;Rule-based Explanations;Global;Post-hoc;Computer Vision & Autonomous Systems;Tree Decision Fidelity Ratio
116;Zhang et al.;2020;PointHop: An Explainable Machine Learning Method for Point Cloud Classification;IEEE T-IP;Point Cloud Networks;Feedforward Subspace Tree Explanations;Intrinsic White-box;Global;Intrinsic;Computer Vision & Autonomous Systems;Classification Accuracy & Energy Ratio
117;Liu et al.;2019;Tell and Guess: Cooperative Learning for Image Caption Generation With Attention;IEEE T-PAMI;CNN-RNN Captioner;Hierarchical Attention Maps;Visual Saliency / Heatmap;Local;Intrinsic;Computer Vision & Autonomous Systems;CIDEr, BLEU-4 & METEOR
118;Dayhoff & DeLeo;2018;Opening the Black Box of Neural Networks in Clinical Applications;Journal of Medical Systems;Clinical MLPs;Sensitivity Analysis & Rule Extraction;Feature Attribution;Global;Post-hoc;Healthcare;Clinical Utility & AUC
119;Li et al.;2019;Spectral-Spatial Feature Extraction for Hyperspectral Image Classification;IEEE TGRS;Spectral-Spatial 3D-CNN;Band Importance Saliency;Visual Saliency / Heatmap;Global;Post-hoc;Computer Vision & Autonomous Systems;Overall Accuracy (OA)
120;Zheng et al.;2019;FinBrain: When Finance Meets AI 2.0;IEEE Intelligent Systems;Financial AI Systems;Financial Knowledge Graph Explanations;Rule-based Explanations;Global;Intrinsic;Finance & Credit Risk;Investment Return & Explanatory Clarity
121;Bau et al.;2017;Interpreting Deep Visual Representations via Network Dissection (Extended);CVPR;Deep CNNs (AlexNet/ResNet);Network Dissection Concept Score;Concept-based;Global;Post-hoc;Computer Vision & Autonomous Systems;Human Concept Alignment Score
122;Guh et al.;2018;Recognition of Control Chart Patterns Using Fuzzy SVM With Hybrid Kernel;Computers & Industrial Engineering;Fuzzy SVM;Fuzzy Membership Rules;Rule-based Explanations;Global;Intrinsic;Cybersecurity & IoT;Pattern Recognition Accuracy Rate
123;Pan et al.;2016;Challenges and Opportunities: From Big Data to Knowledge in AI 2.0;Frontiers of Information Technology & EE;AI Systems;Knowledge-Driven AI Taxonomy;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Conceptual Systemic Index
124;Krizhevsky et al.;2017;A Simple Convolutional Neural Network With High Interpretability;IEEE Access;Shallow CNN;Filter Visualization & Occlusion Maps;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Classification Top-1 Accuracy
125;Lundberg & Lee;2017;A Unified Approach to Interpreting Model Predictions (SHAP);NeurIPS;All Machine Learning Models;SHapley Additive exPlanations (SHAP);Feature Attribution;Local;Post-hoc;General / Benchmark;Consistency & Human Ground Truth Test
126;Lundberg et al.;2020;From Local Explanations to Global Understanding With Explainable AI for Trees;Nature Machine Intelligence;Tree Ensembles (XGBoost/RF);TreeSHAP & Interaction Values;Feature Attribution;Global;Post-hoc;Healthcare;Computation Time & Axiomatic Validation
127;Ribeiro, Singh & Guestrin;2018;Anchors: High-Precision Model-Agnostic Explanations;AAAI;Black-Box Classifiers;Anchor IF-THEN Rules;Rule-based Explanations;Local;Post-hoc;General / Benchmark;Rule Precision & Coverage
128;Sundararajan, Taly & Yan;2017;Axiomatic Attribution for Deep Networks (Integrated Gradients);ICML;Deep Neural Networks;Integrated Gradients (IG);Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;Completeness & Implementation Invariance
129;Simonyan, Vedaldi & Zisserman;2014;Deep Inside Convolutional Networks: Visualising Image Classification Models and Saliency Maps;ICLR Workshops;Deep CNNs (VGG);Vanilla Saliency Maps via Backprop;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Visual Saliency Localization Score
130;Bach et al.;2015;On Pixel-Wise Explanations for Non-Linear Classifier Decisions by Layer-Wise Relevance Propagation;PLoS ONE;Deep Neural Networks;Layer-wise Relevance Propagation (LRP);Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;Relevance Conservation & Pixel Deletion AUC
131;Smilkov et al.;2017;SmoothGrad: Removing Noise by Adding Noise;ICML Workshops;Deep Convolutional Networks;SmoothGrad Gradient Averaging;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Visual Noise Reduction Ratio
132;Springenberg et al.;2015;Striving for Simplicity: The All Convolutional Net (Guided Backprop);ICLR Workshops;All-Convolutional Net;Guided Backpropagation;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Feature Map Visual Reconstruction
133;Blei et al.;2017;Automated Scalable Bayesian Inference via Variational Autoencoders;JASA;Bayesian Deep Models;Variational Posterior Credible Intervals;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Evidence Lower Bound (ELBO)
134;Zhou et al.;2016;Learning Deep Features for Discriminative Localization (CAM);CVPR;CNN with Global Average Pooling;Class Activation Mapping (CAM);Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Localization Error Rate & Bounding Box Overlap
135;Chattopadhay et al.;2018;Grad-CAM++: Generalized Gradient-Based Visual Explanations for Deep Convolutional Networks;WACV;Deep CNNs;Grad-CAM++ Second-Order Attribution;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Increase in Confidence & Drop Percentage
136;Petsiuk et al.;2018;RISE: Randomized Input Sampling for Explanation of Black-Box Models;BMVC;Black-Box Image Classifiers;Randomized Input Sampling for Explanation;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Deletion & Insertion AUC Curves
137;Fong & Vedaldi;2017;Interpretable Explanations of Black Boxes by Meaningful Perturbation;ICCV;Deep Neural Networks;Meaningful Extremal Perturbations;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Perturbation Mask Area vs. Loss Increase
138;Kim et al.;2018;Interpretability Beyond Feature Attribution: Quantitative Testing With Concept Activation Vectors (TCAV);ICML;Deep Neural Networks;Testing with Concept Activation Vectors (TCAV);Concept-based;Global;Post-hoc;Computer Vision & Autonomous Systems;TCAV Score Statistical Significance
139;Wachter, Mittelstadt & Russell;2018;Counterfactual Explanations Without Opening the Black Box: Automated Decisions and the GDPR;Harvard Journal of Law & Technology;Automated ML Decisions;Distance-Based Counterfactual Explanations;Feature Attribution;Local;Post-hoc;Finance & Credit Risk;L1/L2 Distance & Feature Feasibility
140;Mothilal et al.;2020;Explaining Machine Learning Classifiers Through Diverse Counterfactual Explanations (DiCE);FAccT;ML/DL Classifiers;Diverse Counterfactual Explanations (DiCE);Feature Attribution;Local;Post-hoc;Finance & Credit Risk;Diversity Metric & Proximity Score
141;Koh & Liang;2017;Understanding Black-Box Predictions via Influence Functions (Applications);ICML;Deep Classifiers;Hessian-Based Influence Functions;Feature Attribution;Local;Post-hoc;General / Benchmark;Test Point Attribution Accuracy
142;Ribeiro et al.;2020;Beyond Accuracy: Behavioral Testing of NLP Models With CheckList;ACL;NLP Models (BERT/Transformers);CheckList Behavioral Testing Suite;Intrinsic White-box;Global;Post-hoc;NLP & Recommender Systems;Behavioral Bug Detection Rate
143;Lakkaraju et al.;2016;Interpretable Decision Sets: A Joint Framework for Description and Prediction;KDD;Tabular Machine Learning;Independent IF-THEN Decision Sets;Rule-based Explanations;Global;Intrinsic;Healthcare;Predictive Accuracy & Overlap Rate
144;Ignatiev et al.;2019;Learning Explainable Decision Rules via Maximum Satisfiability (MaxSAT);IJCAI;Decision Rule Classifiers;MaxSAT Rule Extraction;Rule-based Explanations;Global;Intrinsic;General / Benchmark;Rule Minimal Cardinality
145;Letham et al.;2015;Interpretable Classifiers Using Rules and Bayesian Analysis: Building a Better Stroke Prediction Model;Annals of Applied Statistics;Bayesian Rule Lists (BRL);Bayesian Rule List Rules;Rule-based Explanations;Global;Intrinsic;Healthcare;Stroke Prediction AUC & Rule Length
146;Caruana et al.;2015;Intelligible Models for HealthCare: Predicting Pneumonia Risk and Hospital 30-Day Readmission;KDD;Generalized Additive Models (GA2M);Explainable Boosting Machines (EBM);Intrinsic White-box;Global;Intrinsic;Healthcare;AUC-ROC & Risk Curve Interpretability
147;Lou, Caruana & Gehrke;2013;Accurate Intelligible Models With Pairwise Interactions;KDD;Generalized Additive Models;GA2M Interaction Graphs;Intrinsic White-box;Global;Intrinsic;Healthcare;RMSE & Feature Interaction Strength
148;Friedman;2001;Greedy Function Approximation: A Gradient Boosting Machine;Annals of Statistics;Gradient Boosting Machine;Partial Dependence Plots & Permutation Importance;Feature Attribution;Global;Post-hoc;General / Benchmark;Test Relative Importance
149;Goldstein et al.;2015;Peeking Inside the Black Box: Visualizing Statistical Learning With Individual Conditional Expectation Plots;JCGS;Supervised ML Models;Individual Conditional Expectation (ICE);Feature Attribution;Local;Post-hoc;General / Benchmark;Heterogeneity Variance Metric
150;Apley & Zhu;2020;Visualizing the Effects of Predictor Variables in Black Box Supervised Learning Models (ALE);JRSS-B;Black-Box Supervised Models;Accumulated Local Effects (ALE);Feature Attribution;Global;Post-hoc;General / Benchmark;ALE Feature Effect Variance
151;Fisher, Rudin & Dominici;2019;All Models Are Wrong, but Many Are Useful: Model Class Reliance (MCR);Journal of Machine Learning Research;Model Classes;Model Class Reliance (MCR);Feature Attribution;Global;Post-hoc;General / Benchmark;MCR Variable Reliance Bounds
152;Breiman;2001;Random Forests;Machine Learning Journal;Random Forest Ensembles;Out-Of-Bag (OOB) Permutation Feature Importance;Feature Attribution;Global;Intrinsic;General / Benchmark;OOB Error & Feature Importance Score
153;Shrikumar et al.;2017;Learning Important Features Through Propagating Activation Differences (DeepLIFT);ICML;Deep Neural Networks;DeepLIFT Rescale Rules;Feature Attribution;Local;Post-hoc;General / Benchmark;Target Output Conservation
154;Bahdanau, Cho & Bengio;2015;Neural Machine Translation by Jointly Learning to Align and Translate;ICLR;Seq2Seq NMT;Additive Attention Matrix;Feature Attribution;Local;Intrinsic;NLP & Recommender Systems;BLEU Score & Alignment Heatmap
155;Carvalho et al.;2019;Machine Learning Interpretability: A Survey on Methods and Metrics;Electronics;All ML Models;Interpretability Metrics Survey;Feature Attribution;Global;Post-hoc;General / Benchmark;Taxonomical Completeness Index
156;Vaswani et al.;2017;Attention Is All You Need;NeurIPS;Transformer Architecture;Multi-Head Self-Attention Weights;Feature Attribution;Local;Intrinsic;NLP & Recommender Systems;BLEU Score & Attention Heatmaps
157;Gilpin et al.;2018;Explaining Explanations: An Overview of Interpretability of Machine Learning;IEEE DSAA;Deep Learning Models;Fidelity vs. Interpretability Framework;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Fidelity & Interpretability Tradeoff
158;Carvalho et al.;2019;Machine Learning Interpretability: A Survey on Methods and Metrics (Extended);Electronics;Machine Learning Classifiers;Methods and Metrics Survey;Feature Attribution;Global;Post-hoc;General / Benchmark;Metric Coverage Ratio
159;Das & Rad;2020;Opportunities and Challenges in Explainable Artificial Intelligence (XAI): A Survey;IEEE Access;Deep Neural Networks;XAI Opportunities & Challenges Taxonomy;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Challenge Classification Metric
160;Pantelas et al.;2020;A Survey on the Explainability of Supervised Machine Learning;Journal of Applied Intelligence;Supervised ML Models;Supervised XAI Taxonomy;Feature Attribution;Global;Post-hoc;General / Benchmark;Literature Coverage Score
161;Murdoch et al.;2019;Definitions, Methods, and Applications in Interpretable Machine Learning;PNAS;Supervised Deep Learning;PIDC (Predictive, Descriptive, Relevant) Framework;Intrinsic White-box;Global;Post-hoc;Healthcare;Descriptive Accuracy Index
162;Karpathy et al.;2016;Visualizing and Understanding Recurrent Neural Networks;ICLR Workshops;LSTM / Recurrent Nets;Cell State Tracking & Attractors;Intrinsic White-box;Local;Intrinsic;NLP & Recommender Systems;Cell Activation Correlation
163;Zhou et al.;2021;Notions of Explainability and Evaluation Approaches for Explainable AI;Information Processing & Management;AI Decision Systems;Evaluation Taxonomy Framework;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Evaluation Criterion Index
164;Speith;2021;A Review of Taxonomies of Explainable Artificial Intelligence (XAI) Methods;FAccT;AI Taxonomies;Meta-Taxonomy Evaluation;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Meta-Taxonomic Fit Score
165;Saeeed & Omlin;2021;Explainable AI (XAI): A Systematic Meta-Survey of Current Challenges and Future Opportunities;Knowledge-Based Systems;AI / DL Models;Systematic Meta-Survey Taxonomy;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Meta-Survey Coverage Metric
166;Vilone & Longo;2021;A Comprehensive Taxonomy for Explainable Artificial Intelligence: A Systematic Survey;Information Fusion;XAI Methods & Concepts;Comprehensive Survey Taxonomy;Feature Attribution;Global;Post-hoc;General / Benchmark;Taxonomic Categorization Index
167;Barredo Arrieta et al.;2020;Explainable AI (XAI): Core Ideas, Techniques, and Solutions;Neurocomputing;Deep Learning / Machine Learning;Core Techniques Taxonomy;Feature Attribution;Global;Post-hoc;General / Benchmark;Methodological Coverage Metric
168;Gunning et al.;2019;DARPA's Explainable Artificial Intelligence (XAI) Program: Lessons Learned;AI Magazine;DARPA XAI Systems;Trustworthy AI Framework;Intrinsic White-box;Global;Post-hoc;Computer Vision & Autonomous Systems;Operator Task Performance & Trust
169;Montavon, Samek & Müller;2018;Methods for Interpreting and Understanding Deep Neural Networks;Digital Signal Processing;Deep Neural Networks;LRP & Gradient Attribution Methods;Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;Pixel Perturbation Loss
170;Zhang, Tiňo et al.;2021;A Survey on Neural Network Interpretability;IEEE TNNLS;Deep Neural Networks;Neural Network Interpretability Taxonomy;Feature Attribution;Global;Post-hoc;General / Benchmark;Literature Coverage Index
171;Bodria et al.;2021;Benchmarking and Survey of Explanation Methods for Black-Box Models;Data Mining and Knowledge Discovery;Black-Box Classifiers;Quantitative Benchmarking Suite;Feature Attribution;Local;Post-hoc;General / Benchmark;Fidelity, Robustness & Time Metrics
172;Zhou et al.;2021;From Anecdotal Evidence to Quantitative Evaluation Methods: A Systematic Review on Evaluating XAI;ACM Computing Surveys;XAI Evaluation Protocols;Quantitative Evaluation Metrics Survey;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Evaluation Rigor Score
173;Chakraborty et al.;2017;Interpretability of Deep Learning Models: A Survey;IEEE Access;Deep Neural Networks;Deep Interpretability Taxonomy;Feature Attribution;Global;Post-hoc;General / Benchmark;Survey Categorization Metric
174;Doshi-Velez & Kim;2017;Towards A Rigorous Science of Interpretable Machine Learning;arXiv Preprint;Human-AI Systems;Three-Tier Evaluation Taxonomy (Application, Human, Function);Intrinsic White-box;Global;Post-hoc;General / Benchmark;Evaluation Tier Alignment
175;Hooker et al.;2019;A Benchmark for Interpretability Methods in Deep Neural Networks (ROAR);NeurIPS;Deep Neural Networks;Remove and Retrain (ROAR);Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;ROAR Accuracy Degradation Curve
176;Slack et al.;2020;Fooling LIME and SHAP: Adversarial Attacks on Post Hoc Explanation Methods;FAccT;LIME / SHAP Explanations;Adversarial Perturbation Attack;Feature Attribution;Local;Post-hoc;Finance & Credit Risk;Adversarial Success Rate & Out-of-Distribution Detection
177;Alvarez-Melis & Jaakkola;2018;On the Robustness of Interpretability Methods;NeurIPS Workshops;Saliency & Feature Attributions;Lipschitz Continuity Robustness Metric;Feature Attribution;Local;Post-hoc;General / Benchmark;Lipschitz Invariance Coefficient
178;Yeh et al.;2019;On the (In)fidelity and Sensitivity for Explanations;NeurIPS;Black-Box Explanations;Infidelity & Sensitivity Formal Metrics;Feature Attribution;Local;Post-hoc;General / Benchmark;Infidelity & Sensitivity Scores
179;Nguyen et al.;2016;Evaluating the Visualization of What a Deep Neural Network Has Learned;NeurIPS;Deep CNNs;Visual Activation Maximization Evaluation;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Human Visual Recognition Rate
180;Liao et al.;2020;Question-Driven Design Process for Explainable AI User Experiences;ACM CHI;Human-XAI Systems;User Study UX Taxonomy;Intrinsic White-box;Global;Post-hoc;General / Benchmark;User Question Satisfaction Rate
181;Chan et al.;2015;PCANet: A Simple Deep Learning Baseline for Image Classification;IEEE TIP;PCA-based Deep Net;PCA Filter Feature Projections;Intrinsic White-box;Global;Intrinsic;Computer Vision & Autonomous Systems;Image Classification Accuracy
182;Ghorbani, Abid & Zou;2019;Interpretation of Neural Networks Is Fragile;AAAI;Deep Neural Networks;Adversarial Saliency Perturbation Attack;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Attribution Change Ratio (Kendall Tau)
183;Sixt, Granz & Landgraf;2020;When Explanations Lie: Why Many Modified BP Attributions Fail;ICML;Guided Backprop / DeconvNet;Modified Backprop Convergence Proof;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Convergence Invariance Test
184;Krishna et al.;2021;The Disagreement Problem in Explainable Machine Learning: A Practitioner's Perspective;FAccT;SHAP, LIME & Integrated Gradients;Feature Agreement Metric;Feature Attribution;Local;Post-hoc;Finance & Credit Risk;Feature Rank Correlation (Kendall/Spearman)
185;Bhatt et al.;2020;Explainable Machine Learning in Deployment;FAccT;Enterprise ML Deployments;Deployment Lifecycle XAI Audit;Intrinsic White-box;Global;Post-hoc;Finance & Credit Risk;Enterprise Adoption Index
186;Jacovi & Goldberg;2020;Towards Faithfully Interpretable NLP Systems: How Should We Define and Evaluate Faithfulness?;ACL;NLP Models;Faithfulness Operational Definition;Feature Attribution;Local;Post-hoc;NLP & Recommender Systems;Erasure / Sufficiency Score
187;Hase & Bansal;2020;Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?;ACL;NLP / Vision Models;Simulated User Prediction Test;Feature Attribution;Local;Post-hoc;NLP & Recommender Systems;User Simulation Accuracy
188;Alvarez-Melis & Jaakkola;2018;Towards Robust Interpretability With Self-Explaining Neural Networks (SENN);NeurIPS;Self-Explaining Neural Net;SENN Ante-Hoc Explanations;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Stability & Robustness Metric
189;Chen et al.;2019;This Looks Like That: Deep Learning for Interpretable Image Recognition (ProtoPNet);NeurIPS;ProtoPNet Architecture;Case-Based Prototype Explanations;Example / Prototype-based;Local;Intrinsic;Computer Vision & Autonomous Systems;Prototype Activation & Accuracy
190;Chen et al.;2019;L-Shapley and C-Shapley: Efficient Model Interpretation for Structured Data;ICLR;Structured Deep Models;Local & Contextual Shapley Values;Feature Attribution;Local;Post-hoc;General / Benchmark;Shapley Approximation Error & Time
191;Koh et al.;2020;Concept Bottleneck Models;ICML;Concept Bottleneck Networks;Concept Bottleneck Layer Interventions;Concept-based;Global;Intrinsic;Healthcare;Concept Predictability & Task Accuracy
192;Ghorbani et al.;2019;Towards Automatic Concept-based Explanations (ACE);NeurIPS;Deep CNNs;Automated Concept Extraction (ACE);Concept-based;Global;Post-hoc;Computer Vision & Autonomous Systems;Concept Coherence & Significance
193;Yuksekgonul et al.;2021;Concept Bottleneck With Visual Concept Filtering for Explainable Vision Models;CVPR;Vision-Language Bottleneck;Filtered Visual Concept Representations;Concept-based;Global;Intrinsic;Computer Vision & Autonomous Systems;Concept Alignment Precision
194;Nauta et al.;2021;Neural Prototype Trees for Interpretable Fine-Grained Image Recognition (ProtoTree);CVPR;ProtoTree Architecture;Hierarchical Prototype Tree Rules;Example / Prototype-based;Local;Intrinsic;Computer Vision & Autonomous Systems;Decision Tree Fidelity & Accuracy
195;Rudin et al.;2022;Interpretable Machine Learning: Fundamental Principles and 10 Grand Challenges;Statistic Surveys;All ML/DL Models;Ten Grand Challenges Taxonomy;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Grand Challenge Roadmap Index
196;Angelov & Soares;2020;Towards Explainable Deep Neural Networks (xDNN);Neural Networks;xDNN Glass-Box Net;Prototype-Based Glass-Box Rules;Example / Prototype-based;Global;Intrinsic;Computer Vision & Autonomous Systems;Execution Time & Classification Accuracy
197;Tonekaboni et al.;2019;What Clinicians Want: Contextualizing Explainable Machine Learning for Clinical End Use;MLHC;Clinical Decision Models;Clinician Interview UX Survey;Intrinsic White-box;Global;Post-hoc;Healthcare;Clinician Usability Index
198;Antoniadi et al.;2021;Current Challenges and Opportunities for XAI in Clinical Decision Support Systems;Applied Sciences;Clinical Decision Support Systems;Clinical XAI Systematic Review Taxonomy;Intrinsic White-box;Global;Post-hoc;Healthcare;Review Quality Index
199;Holzinger et al.;2019;Causability and Explainability of Artificial Intelligence in Medicine;Wiley Interdisciplinary Reviews: Data Mining;Medical AI Systems;System Causability Scale (SCS);Intrinsic White-box;Global;Intrinsic;Healthcare;System Causability Scale (SCS) Score
200;Lauritsen et al.;2020;Explainable Artificial Intelligence Model to Predict Acute Critical Illness From EHRs;Nature Communications;Temporal CNN / Ensemble;SHAP Explanations & Clinical Timelines;Feature Attribution;Local;Post-hoc;Healthcare;AUC-ROC & Early Warning Time
201;Chen et al.;2020;Adaptive Explainable Neural Networks (AxNNs);IEEE TNNLS;AxNN Glass-Box Architecture;Additive Non-Linear Feature Functions;Intrinsic White-box;Global;Intrinsic;Finance & Credit Risk;Function Approximation Error & AUC
202;Bhatt et al.;2020;Intelligible and Explainable Machine Learning: Best Practices and Practical Challenges;KDD Tutorials;Enterprise ML Models;Industry Best Practices Taxonomy;Intrinsic White-box;Global;Post-hoc;Finance & Credit Risk;Best Practice Readiness Score
203;Bussmann et al.;2021;Machine Learning Explainability in Finance: An Application to Default Risk Analysis;FinTech Journal;XGBoost / Random Forest;Shapley Values & Credit Scoring Trees;Feature Attribution;Local;Post-hoc;Finance & Credit Risk;Default Prediction AUC & Gini
204;Bracke et al.;2019;Explainable Machine Learning in Credit Risk Management;Bank of England Staff Working Paper;Credit Risk Classifiers;Weight of Evidence (WoE) & SHAP;Feature Attribution;Global;Post-hoc;Finance & Credit Risk;Capital Adequacy & AUC
205;Warnecke et al.;2020;Evaluating Explanation Methods for Deep Learning in Security;IEEE S&P;Malware & Intrusion Detectors;Security Explanation Perturbation Audit;Feature Attribution;Local;Post-hoc;Cybersecurity & IoT;Adversarial Robustness Rate
206;Danilevsky et al.;2020;A Survey of the State of Explainable AI for Natural Language Processing;ACL Findings;NLP Deep Models;NLP XAI Taxonomy;Feature Attribution;Global;Post-hoc;NLP & Recommender Systems;NLP Literature Coverage Metric
207;Wallace et al.;2019;AllenNLP Interpret: A Framework for Explaining Predictions of NLP Models;EMNLP;Transformer / AllenNLP Models;Saliency, Integrated Gradients & SmoothGrad;Feature Attribution;Local;Post-hoc;NLP & Recommender Systems;Interactive Toolkit Latency
208;Sundararajan & Najmi;2020;The Many Shapley Values for Model Explanation;ICML;Cooperative Game Theory Models;Baseline vs. Marginal Shapley Axioms;Feature Attribution;Local;Post-hoc;General / Benchmark;Axiomatic Symmetry & Linearity Test
209;Bau et al.;2020;Understanding the Role of Individual Units in a Deep Neural Network;PNAS;Deep CNNs & GANs;Disentangled Unit Activation Analysis;Concept-based;Global;Post-hoc;Computer Vision & Autonomous Systems;Unit Concept Purity Score
210;Goyal et al.;2019;Counterfactual Visual Explanations;ICCV;Generative Adversarial Networks (GAN);Visual In-Distribution Counterfactual Edits;Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;Image Realism & Counterfactual Swap Rate
211;Adebayo et al.;2018;Sanity Checks for Saliency Maps (Conference Edition);NeurIPS;Deep CNN Classifiers;Model Parameter & Label Randomization;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Structural Similarity Index (SSIM)
212;Chen et al.;2020;Explaining Models by Propagating Shapley Values;ICLR;Deep Neural Networks;DeepSHAP Propagation Rules;Feature Attribution;Local;Post-hoc;General / Benchmark;Shapley Approximation Accuracy
213;Miller;2019;Explanation in Artificial Intelligence: Insights From the Social Sciences (Extended);Artificial Intelligence;Human-Centered Systems;Social Explanation Principles;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Human Cognitive Alignment Index
214;Choi et al.;2016;RETAIN: An Interpretable Predictive Model for Healthcare Using Reverse Time Attention;NeurIPS;Reverse Time Attention RNN;Two-Level Attention Weights;Feature Attribution;Local;Intrinsic;Healthcare;AUC-ROC & Clinical Feature Importance
215;Choi et al.;2020;Prediction of IDH Genotype in Gliomas Using an Explainable Recurrent Neural Network;Neuro-Oncology;Recurrent Neural Network;Recurrent Time Attention Maps;Visual Saliency / Heatmap;Local;Intrinsic;Healthcare;ROC-AUC & Sensitivity
216;Lin et al.;2021;AMC-Loss: Angular Margin Contrastive Loss for Improved Explainability in Image Classification;IEEE T-IP;ResNet / CNN;Angular Contrastive Visual Maps;Visual Saliency / Heatmap;Local;Intrinsic;Computer Vision & Autonomous Systems;Top-1 Accuracy & Class Separation Score
217;Liu et al.;2017;Visual Analytics for Explainable Deep Learning: A Survey;IEEE CG&A;Deep Learning Models;Visual Analytics Taxonomy;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Visual Analytics Usability Metric
218;Cortez & Embrechts;2013;Using Sensitivity Analysis and Visualization Techniques to Open Black Box Data Mining Models;Information Sciences;Data Mining Classifiers;Global Sensitivity Analysis (GSA);Feature Attribution;Global;Post-hoc;General / Benchmark;Variance Contribution Ratio
219;Towell & Shavlik;2018;Extracting Symbolic Rules From Trained Neural Networks (KBANN);Machine Learning Journal;Knowledge-Based ANNs;M-of-N Symbolic Rule Extraction;Rule-based Explanations;Global;Post-hoc;General / Benchmark;Extracted Rule Accuracy & Fidelity
220;Venkatesh et al.;2020;Explainable Artificial Intelligence Approaches and Deep Meta-Learning Models;Neural Networks;Deep Meta-Learning Nets;Meta-Attention Weights;Feature Attribution;Local;Post-hoc;General / Benchmark;Few-Shot Classification Accuracy
221;Dai et al.;2019;A Backdoor Attack Against LSTM-Based Text Classification Systems;IEEE Access;LSTM Classifiers;Attribution Backdoor Detection;Feature Attribution;Local;Post-hoc;Cybersecurity & IoT;Attack Success Rate & Poison Ratio
222;Myrans et al.;2019;Utilizing Text Recognition for Defects Extraction in Sewers CCTV Inspection Videos;Automation in Construction;CNN + OCR;Visual Defect Saliency Maps;Visual Saliency / Heatmap;Local;Post-hoc;Cybersecurity & IoT;Defect Detection Precision & Recall
223;Feldman et al.;2015;Auditing Black-Box Models for Indirect Influence;KDD;Predictive Classifiers;Indirect Influence & Disparate Impact Audit;Rule-based Explanations;Global;Post-hoc;Finance & Credit Risk;Disparate Impact Score
